emoji-data.txt:1F6F7..1F6F8  ; Emoji                # 10.0  [2] (🛷..🛸)    sled..flying saucer
emoji-data.txt:1F91F         ; Emoji                # 10.0  [1] (🤟)       love-you gesture
emoji-data.txt:1F928..1F92F  ; Emoji                # 10.0  [8] (🤨..🤯)    face with raised eyebrow..exploding head
emoji-data.txt:1F931..1F932  ; Emoji                # 10.0  [2] (🤱..🤲)    breast-feeding..palms up together
emoji-data.txt:1F94C         ; Emoji                # 10.0  [1] (🥌)       curling stone
emoji-data.txt:1F95F..1F96B  ; Emoji                # 10.0 [13] (🥟..🥫)    dumpling..canned food
emoji-data.txt:1F992..1F997  ; Emoji                # 10.0  [6] (🦒..🦗)    giraffe..cricket
emoji-data.txt:1F9D0..1F9E6  ; Emoji                # 10.0 [23] (🧐..🧦)    face with monocle..socks
emoji-data.txt:1F6F7..1F6F8  ; Emoji_Presentation   # 10.0  [2] (🛷..🛸)    sled..flying saucer
emoji-data.txt:1F91F         ; Emoji_Presentation   # 10.0  [1] (🤟)       love-you gesture
emoji-data.txt:1F928..1F92F  ; Emoji_Presentation   # 10.0  [8] (🤨..🤯)    face with raised eyebrow..exploding head
emoji-data.txt:1F931..1F932  ; Emoji_Presentation   # 10.0  [2] (🤱..🤲)    breast-feeding..palms up together
emoji-data.txt:1F94C         ; Emoji_Presentation   # 10.0  [1] (🥌)       curling stone
emoji-data.txt:1F95F..1F96B  ; Emoji_Presentation   # 10.0 [13] (🥟..🥫)    dumpling..canned food
emoji-data.txt:1F992..1F997  ; Emoji_Presentation   # 10.0  [6] (🦒..🦗)    giraffe..cricket
emoji-data.txt:1F9D0..1F9E6  ; Emoji_Presentation   # 10.0 [23] (🧐..🧦)    face with monocle..socks
emoji-data.txt:1F91F         ; Emoji_Modifier_Base  # 10.0  [1] (🤟)       love-you gesture
emoji-data.txt:1F931..1F932  ; Emoji_Modifier_Base  # 10.0  [2] (🤱..🤲)    breast-feeding..palms up together
emoji-data.txt:1F9D1..1F9DD  ; Emoji_Modifier_Base  # 10.0 [13] (🧑..🧝)    adult..elf
emoji-sequences.txt:1F91F 1F3FB   ; Emoji_Modifier_Sequence   ; love-you gesture: light skin tone                              # 10.0  [1] (🤟🏻)
emoji-sequences.txt:1F91F 1F3FC   ; Emoji_Modifier_Sequence   ; love-you gesture: medium-light skin tone                       # 10.0  [1] (🤟🏼)
emoji-sequences.txt:1F91F 1F3FD   ; Emoji_Modifier_Sequence   ; love-you gesture: medium skin tone                             # 10.0  [1] (🤟🏽)
emoji-sequences.txt:1F91F 1F3FE   ; Emoji_Modifier_Sequence   ; love-you gesture: medium-dark skin tone                        # 10.0  [1] (🤟🏾)
emoji-sequences.txt:1F91F 1F3FF   ; Emoji_Modifier_Sequence   ; love-you gesture: dark skin tone                               # 10.0  [1] (🤟🏿)
emoji-sequences.txt:1F931 1F3FB   ; Emoji_Modifier_Sequence   ; breast-feeding: light skin tone                                # 10.0  [1] (🤱🏻)
emoji-sequences.txt:1F931 1F3FC   ; Emoji_Modifier_Sequence   ; breast-feeding: medium-light skin tone                         # 10.0  [1] (🤱🏼)
emoji-sequences.txt:1F931 1F3FD   ; Emoji_Modifier_Sequence   ; breast-feeding: medium skin tone                               # 10.0  [1] (🤱🏽)
emoji-sequences.txt:1F931 1F3FE   ; Emoji_Modifier_Sequence   ; breast-feeding: medium-dark skin tone                          # 10.0  [1] (🤱🏾)
emoji-sequences.txt:1F931 1F3FF   ; Emoji_Modifier_Sequence   ; breast-feeding: dark skin tone                                 # 10.0  [1] (🤱🏿)
emoji-sequences.txt:1F932 1F3FB   ; Emoji_Modifier_Sequence   ; palms up together: light skin tone                             # 10.0  [1] (🤲🏻)
emoji-sequences.txt:1F932 1F3FC   ; Emoji_Modifier_Sequence   ; palms up together: medium-light skin tone                      # 10.0  [1] (🤲🏼)
emoji-sequences.txt:1F932 1F3FD   ; Emoji_Modifier_Sequence   ; palms up together: medium skin tone                            # 10.0  [1] (🤲🏽)
emoji-sequences.txt:1F932 1F3FE   ; Emoji_Modifier_Sequence   ; palms up together: medium-dark skin tone                       # 10.0  [1] (🤲🏾)
